month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2025-05,VULKAN,VL 3412,"ELEMENTO DE ACOPLE, VULKAN, VL 3412",UNIDAD,4514.95,1.0
2025-06,METARIS,280372,"EJE, METARIS, 280372",UNIDAD,38.4,1.0
2025-06,METARIS,372613,"BOMBA OLEOHIDRAULICA, METARIS, 372613",UNIDAD,235.3,1.0
2025-06,METARIS,920021,"SELLOS, METARIS, 920021",KIT,73.26,3.0
2025-06,METARIS,923157,"SELLOS, METARIS, 923157",KIT,579.8,20.0
2025-06,METARIS,S24-10219-0,"SELLOS, METARIS, S24-10219-0",KIT,1302.56,24.0
2025-06,METARIS,S24-10228,"CARTUCHO DE BOMBA OLEOHIDRAULICA, METARIS, S24-10228",UNIDAD,9592.38,10.0
2025-08,VULKAN,105-02-004-22-000,"SOPORTE PARA MOTOR DIESEL, VULKAN, S/M",UNIDAD,4989.17,8.0
2025-08,VULKAN,105-02-004-24-000,"SOPORTE PARA MOTOR DIESEL, VULKAN, S/M",UNIDAD,4989.17,8.0
2025-08,VULKAN,CD3 SL,"ALINEADORES, VULKAN, CD3 SL",UNIDAD,3531.54,24.0
2025-08,VULKAN,CD3 SL,"TAPAS DE ALINEADORES, VULKAN, CD3 SL",UNIDAD,638.24,24.0
2025-08,VULKAN,CD4 SL,"ALINEADORES, VULKAN, CD4 SL",UNIDAD,5824.44,32.0
2025-08,VULKAN,CD4 SL,"TAPAS DE ALINEADORES, VULKAN, CD4 SL",UNIDAD,964.42,32.0
2025-09,CHARLYNN,105-1001,"MOTORES OLEOHIDRAULICOS, CHARLYNN, 105-1001",UNIDAD,382.39,1.0
2025-09,CHARLYNN,61235-000,"KIT DE SELLOS, CHARLYNN, 61235-000",UNIDAD,49.19,2.0
2025-09,CHARLYNN,61238-000,"KIT DE SELLOS, CHARLYNN, 61238-000",UNIDAD,299.95,10.0
2025-09,DANFOSS,OMR200,"MOTORES OLEOHIDRAULICOS, DANFOSS, OMR200",UNIDAD,297.55,1.0
2025-09,REXROTH,'R93400,"VALVULA, REXROTH, R93400",UNIDAD,122.68,2.0
2025-09,REXROTH,OD 1562,"CARTUCHO DE VALVULA, REXROTH, OD 1562",UNIDAD,89.61,1.0
2025-09,REXROTH,OD2360,"BOBINA, REXROTH, OD2360",UNIDAD,13.61,1.0
2025-09,SAI,GM2 420,"MOTORES OLEOHIDRAULICOS, SAI, GM2 420",UNIDAD,3397.8,2.0
2025-09,SAI,GM4 1000,"MOTORES OLEOHIDRAULICOS, SAI, GM4 1000",UNIDAD,20074.88,6.0
2025-09,SAI,GM5 1300,"KIT DE SELLOS, SAI, GM5 1300",UNIDAD,1841.19,3.0
2025-09,VELJAN,VR5V085,"VALVULA DE ALIVIO, VELJAN, VR5V085",UNIDAD,443.2,1.0
2025-10,KOCSIS,B1-12D2150-3A200,ARRANCADOR HIDRAULICO. KOCSIS. B1-12D2150-3A200,UNIDAD,1779.39,1.0
2025-10,KOCSIS,DV-206676,PINON DE ARRCADOR. KOCSIS. DV-206676,UNIDAD,1322.4,2.0
2025-10,VELJAN,M4C,"MOTORES OLEOHIDRAULICOS, VELJAN, M4C",UNIDAD,3355.27,4.0
2025-10,VELJAN,VS14-28180,"EJES, VELJAN, VS14-28180",UNIDAD,2698.17,15.0
2025-10,VELJAN,VS14-29879-0,"KIT DE SELLOS, VELJAN, VS14-29879-0",UNIDAD,2343.03,30.0
2025-10,VELJAN,VS24-10228,"CARTUCHOS, VELJAN, VS24-10228",UNIDAD,7869.13,14.0
2025-10,VELJAN,VS24-40383,"CARTUCHO, VELJAN, VS24-40383",UNIDAD,9811.2,12.0
2025-10,VELJAN,VT6ED-66 42 1R00 B1,"BOMBA DOBLE, VELJAN, VT6ED-66 42 1R00 B1",UNIDAD,1914.7,1.0
